Winner;Black Score;White Score;;;;
AI Opponent - Easy,27,37
AI Opponent - Easy,19,45
AI Opponent - Easy,4,56
AI Opponent - Easy,13,51
AI Opponent - Easy,19,45
AI Opponent - Easy,20,44
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
AI Opponent - Easy,17,47
Draw,32,32
Draw,32,32
AI Opponent - Easy,16,48
AI Opponent - Easy,12,52
AI Opponent - Easy,13,51
AI Opponent - Easy,13,51
AI Opponent - Easy,15,49
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,0,24
AI Opponent - Easy,10,54
AI Opponent - Easy,10,54
AI Opponent - Easy,15,49
AI Opponent - Easy,30,34
AI Opponent - Easy,30,34
AI Opponent - Easy,20,44
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
AI Opponent - Easy,9,55
DQN,34,30
DQN,34,30
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
DQN,34,30
DQN,34,30
AI Opponent - Easy,9,54
AI Opponent - Easy,9,54
AI Opponent - Easy,15,49
AI Opponent - Easy,25,39
DQN,36,28
DQN,36,28
AI Opponent - Easy,8,56
AI Opponent - Easy,17,47
AI Opponent - Easy,17,47
AI Opponent - Easy,0,24
DQN,43,21
DQN,43,21
AI Opponent - Easy,0,42
AI Opponent - Easy,26,38
AI Opponent - Easy,21,43
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
DQN,39,25
DQN,39,25
AI Opponent - Easy,17,47
DQN,40,24
DQN,40,24
AI Opponent - Easy,0,55
AI Opponent - Easy,5,58
AI Opponent - Easy,5,59
AI Opponent - Easy,22,42
AI Opponent - Easy,16,48
AI Opponent - Easy,16,48
AI Opponent - Easy,25,39
DQN,43,21
DQN,43,21
AI Opponent - Easy,19,44
AI Opponent - Easy,8,56
AI Opponent - Easy,0,24
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
AI Opponent - Easy,0,16
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
DQN,36,28
AI Opponent - Easy,23,41
AI Opponent - Easy,30,34
AI Opponent - Easy,6,58
AI Opponent - Easy,22,42
AI Opponent - Easy,23,41
AI Opponent - Easy,8,56
AI Opponent - Easy,1,47
DQN,40,24
DQN,40,24
AI Opponent - Easy,11,53
AI Opponent - Easy,18,46
AI Opponent - Easy,18,46
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
AI Opponent - Easy,0,54
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
Draw,32,32
Draw,32,32
AI Opponent - Easy,6,58
DQN,34,30
DQN,34,30
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
AI Opponent - Easy,8,56
DQN,44,20
DQN,44,20
DQN,43,21
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
AI Opponent - Easy,16,48
AI Opponent - Easy,16,48
AI Opponent - Easy,7,57
AI Opponent - Easy,7,57
DQN,37,27
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
AI Opponent - Easy,13,51
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
DQN,47,17
DQN,47,17
DQN,41,23
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
AI Opponent - Easy,0,57
AI Opponent - Easy,20,44
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,18,46
AI Opponent - Easy,18,46
AI Opponent - Easy,18,46
AI Opponent - Easy,18,46
AI Opponent - Easy,18,46
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
AI Opponent - Easy,23,41
AI Opponent - Easy,2,53
AI Opponent - Easy,10,54
AI Opponent - Easy,30,34
AI Opponent - Easy,30,34
AI Opponent - Easy,20,44
AI Opponent - Easy,18,46
AI Opponent - Easy,19,45
AI Opponent - Easy,19,45
AI Opponent - Easy,15,49
AI Opponent - Easy,9,55
AI Opponent - Easy,9,55
AI Opponent - Easy,30,34
AI Opponent - Easy,20,44
AI Opponent - Easy,16,48
DQN,37,27
DQN,37,27
AI Opponent - Easy,12,52
AI Opponent - Easy,12,52
DQN,43,21
DQN,43,21
AI Opponent - Easy,14,50
AI Opponent - Easy,0,36
AI Opponent - Easy,27,37
AI Opponent - Easy,19,45
AI Opponent - Easy,23,41
AI Opponent - Easy,23,41
AI Opponent - Easy,20,44
AI Opponent - Easy,20,44
AI Opponent - Easy,21,43
AI Opponent - Easy,18,46
AI Opponent - Easy,15,49
AI Opponent - Easy,15,49
AI Opponent - Easy,1,43
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
AI Opponent - Easy,11,53
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
AI Opponent - Easy,22,42
AI Opponent - Easy,22,42
